rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency

824  1445  114  148  |  132   Guillaume - Obs. by Bloch | 22
824  1445  114  148  |  132   Guillaume - mauvaise déf img soleil | 50
824  1445  114  148  |  132   Guillaume - mauvaise déf img sol | 1

832  1493  115  168  |  132   Guillaume - mauvaise déf img soleil | 22
832  1493  115  168  |  132   Guillaume - Obs. Bloch | 15
832  1493  115  168  |  132   Guillaume - Obs. Bloch + mauvaise def img | 4
832  1493  115  168  |  132   Guillaume - Obs. Bloch + mauvaise déf img | 1

849  914  96  189  |  56   Wolfer - Obs. telescope portatif | 7

850  915  96  190  |  104   Broger - Obs. telescope portatif | 9

853  918  96  193  |  77   Quimby - Obs. telescope portatif | 15

854  919  96  194  |  78   Schwab - Obs by Schwartz | 12

856  921  96  195  |  106   Mascari - Obs by Mazarella | 7
856  921  96  195  |  106   Mascari - Obs. by Ricco | 3

864  929  96  200  |  132   Guillaume - mauvaise déf img soleil | 10
864  929  96  200  |  132   Guillaume - mauvaise déf img sol | 2

867  932  96  202  |  124   Subbotin - obs. by Parlow | 21

868  937  97  220  |  56   Wolfer - Obs. telescope I | 2

869  938  97  221  |  117   Broger - Obs. telescope portatif | 7

873  942  97  224  |  77   Quimby - 3 | 1

874  943  97  225  |  180   Mascari et Mazzaralla - Obs. by Mazzaralla | 121
874  943  97  225  |  180   Mascari et Mazzaralla - Obs by Mazarella | 17

887  956  97  232  |  132   Guillaume - mauvaise déf img soleil | 3

889  958  97  234  |  111   Lewitzky - obs. Abold | 2
889  958  97  234  |  111   Lewitzky - Obs. Obraszof | 16
889  958  97  234  |  111   Lewitzky - Obs. Abold | 4

890  963  98  265  |  56   Wolfer - Obs. Telescope I | 6
890  963  98  265  |  56   Wolfer - Obs. telescope I | 1

891  964  98  266  |  104   Broger - obs. telescope portatif | 7
